,Crop,N,P,K,pH
0,rice,80,40,40,5.5
1,maize,80,40,20,5.5
2,chickpea,40,60,80,5.5
3,soyabean,20,60,20,5.5
4,kidneybeans,20,60,20,5.5
5,pigeonpeas,20,60,20,5.5
6,mothbeans,20,40,20,5.5
7,mungbean,20,40,20,5.5
8,blackgram,40,60,20,5.0
9,lentil,20,60,20,5.5
10,onion,120,60,65,6.0
11,tomato,100,40,90,6.0
12,pomegranate,20,10,40,5.5
13,banana,100,75,50,6.5
14,mango,20,20,30,5.0
15,grapes,20,125,200,4.0
16,watermelon,100,10,50,5.5
17,muskmelon,100,10,50,5.5
18,apple,20,125,200,6.5
19,orange,20,10,10,4.0
20,papaya,50,50,50,6.0
21,coconut,20,10,30,5.0
22,cotton,120,40,20,5.5
23,jute,80,40,40,5.5
24,coffee,100,20,30,5.5
25,wheat,150,60,60,6.5
